"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","20-Mar-2020","        162.35","        163.10","        185.80","        162.50","        178.00","        179.20","        176.72","   10160070","          1795536401.65","      86219","    2660280","         26.18"
"WIPRO","EQ","23-Mar-2020","        179.20","        165.00","        177.00","        165.00","        171.50","        170.15","        173.00","    5360393","           927343313.45","      56816","    2418015","         45.11"
"WIPRO","EQ","24-Mar-2020","        170.15","        168.50","        181.75","        168.05","        178.25","        176.35","        176.78","    6037867","          1067378793.50","      78461","    1915865","         31.73"
"WIPRO","EQ","25-Mar-2020","        176.35","        177.40","        188.00","        170.20","        172.50","        174.65","        175.95","    6728276","          1183853668.20","      81762","    2397808","         35.64"
"WIPRO","EQ","26-Mar-2020","        174.65","        176.95","        186.80","        172.50","        180.60","        182.60","        180.17","    5124357","           923251037.30","      46356","    1769443","         34.53"
"WIPRO","EQ","27-Mar-2020","        182.60","        183.15","        189.50","        181.50","        184.65","        183.50","        185.15","    6767560","          1253023967.65","      40065","    3758545","         55.54"
"WIPRO","EQ","30-Mar-2020","        183.50","        181.10","        187.40","        179.35","        185.25","        184.15","        184.50","    3667803","           676692029.25","      47445","    1226199","         33.43"
"WIPRO","EQ","31-Mar-2020","        184.15","        187.00","        199.80","        185.65","        196.10","        196.70","        194.94","    5307678","          1034656565.35","      62061","    1789839","         33.72"
"WIPRO","EQ","01-Apr-2020","        196.70","        195.70","        195.70","        187.00","        188.65","        189.50","        190.06","    4937836","           938489498.35","      63336","    2572084","         52.09"
"WIPRO","EQ","03-Apr-2020","        189.50","        188.00","        189.60","        177.75","        180.15","        180.00","        181.23","    6573737","          1191349404.15","      79843","    2690631","         40.93"
"WIPRO","EQ","07-Apr-2020","        180.00","        188.25","        192.70","        183.05","        191.95","        191.90","        189.50","    4781444","           906101475.25","      56566","    1934399","         40.46"
"WIPRO","EQ","08-Apr-2020","        191.90","        191.50","        200.00","        188.80","        193.00","        192.90","        194.98","    5137654","          1001741684.35","      53517","    1739056","         33.85"
"WIPRO","EQ","09-Apr-2020","        192.90","        198.40","        202.95","        195.05","        196.60","        196.70","        197.60","    3465831","           684832185.95","      36684","     858786","         24.78"
"WIPRO","EQ","13-Apr-2020","        196.70","        198.00","        198.00","        182.90","        189.60","        189.20","        189.05","    6193223","          1170801308.15","      69489","    1817362","         29.34"
"WIPRO","EQ","15-Apr-2020","        189.20","        190.05","        193.60","        185.80","        186.45","        186.55","        189.46","   11326600","          2145934350.40","     112441","    3315828","         29.27"
"WIPRO","EQ","16-Apr-2020","        186.55","        180.00","        189.75","        180.00","        189.00","        187.85","        185.90","   21690456","          4032251772.20","     150354","    4103600","         18.92"
"WIPRO","EQ","17-Apr-2020","        187.85","        192.50","        193.75","        185.55","        187.20","        187.00","        188.26","    6606453","          1243751579.15","      96023","    2210202","         33.46"
"WIPRO","EQ","20-Apr-2020","        187.00","        189.00","        189.00","        180.15","        180.55","        181.10","        183.33","    8101663","          1485310274.95","      79381","    3735374","         46.11"
"WIPRO","EQ","21-Apr-2020","        181.10","        179.00","        179.90","        173.80","        178.30","        178.05","        176.98","    9043319","          1600479912.50","      75722","    3454927","         38.20"
"WIPRO","EQ","22-Apr-2020","        178.05","        177.00","        179.50","        175.05","        178.30","        178.55","        177.59","    5311640","           943280894.55","      62150","    2169513","         40.84"
"WIPRO","EQ","23-Apr-2020","        178.55","        179.40","        182.60","        177.10","        181.00","        180.90","        180.23","    5555420","          1001236515.50","      54314","    2444423","         44.00"
"WIPRO","EQ","24-Apr-2020","        180.90","        179.95","        180.80","        177.15","        178.20","        177.75","        178.12","    4641140","           826673995.70","      50379","    2393295","         51.57"
